Problem,Error Type,Correct Answer,Incorrect Answer
"There are 139 cookies, and they need to be divided equally among 197 friends. How many cookies does each friend get?",Division Error,0.705583756345178,1.53152435459443
"There are 56 apples. If you add 13 more apples, how many apples do you have?",Addition Error,69,92
"There are 59 balloons. If 48 balloons pop, how many balloons are left?",Subtraction Error,11,83
"There are 110 cookies, and they need to be divided equally among 35 friends. How many cookies does each friend get?",Division Error,3.14285714285714,3.47686199489024
"There are 33 apples. If you add 16 more apples, how many apples do you have?",Addition Error,49,144
"John has 115 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,1035,1044
"There are 126 apples. If you add 2 more apples, how many apples do you have?",Addition Error,128,187
"John has 132 boxes, and each box contains 101 chocolates. How many chocolates does he have in total?",Multiplication Error,13332,13341
"There are 102 apples. If you add 120 more apples, how many apples do you have?",Addition Error,222,298
"There are 146 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,140,214
"There are 200 balloons. If 61 balloons pop, how many balloons are left?",Subtraction Error,139,151
"There are 49 cookies, and they need to be divided equally among 67 friends. How many cookies does each friend get?",Division Error,0.73134328358209,1.27496209874084
"There are 18 balloons. If 189 balloons pop, how many balloons are left?",Subtraction Error,-171,-82
"There are 83 apples. If you add 100 more apples, how many apples do you have?",Addition Error,183,283
"There are 65 balloons. If 173 balloons pop, how many balloons are left?",Subtraction Error,-108,-84
"There are 99 cookies, and they need to be divided equally among 71 friends. How many cookies does each friend get?",Division Error,1.3943661971831,2.10332357568075
"John has 176 boxes, and each box contains 73 chocolates. How many chocolates does he have in total?",Multiplication Error,12848,12855
"There are 62 balloons. If 149 balloons pop, how many balloons are left?",Subtraction Error,-87,-3
"There are 156 apples. If you add 91 more apples, how many apples do you have?",Addition Error,247,336
"There are 132 balloons. If 198 balloons pop, how many balloons are left?",Subtraction Error,-66,27
"John has 191 boxes, and each box contains 183 chocolates. How many chocolates does he have in total?",Multiplication Error,34953,34959
"There are 94 cookies, and they need to be divided equally among 124 friends. How many cookies does each friend get?",Division Error,0.758064516129032,1.58903491544014
"There are 145 balloons. If 45 balloons pop, how many balloons are left?",Subtraction Error,100,136
"There are 156 balloons. If 177 balloons pop, how many balloons are left?",Subtraction Error,-21,30
"John has 171 boxes, and each box contains 75 chocolates. How many chocolates does he have in total?",Multiplication Error,12825,12827
"There are 13 balloons. If 99 balloons pop, how many balloons are left?",Subtraction Error,-86,-7
"There are 14 balloons. If 136 balloons pop, how many balloons are left?",Subtraction Error,-122,-119
"There are 198 cookies, and they need to be divided equally among 84 friends. How many cookies does each friend get?",Division Error,2.35714285714286,3.04731340510537
"There are 80 apples. If you add 109 more apples, how many apples do you have?",Addition Error,189,285
"There are 173 apples. If you add 137 more apples, how many apples do you have?",Addition Error,310,330
"There are 181 cookies, and they need to be divided equally among 155 friends. How many cookies does each friend get?",Division Error,1.16774193548387,2.00222464882298
"John has 113 boxes, and each box contains 191 chocolates. How many chocolates does he have in total?",Multiplication Error,21583,21584
"John has 165 boxes, and each box contains 149 chocolates. How many chocolates does he have in total?",Multiplication Error,24585,24594
"There are 27 apples. If you add 190 more apples, how many apples do you have?",Addition Error,217,262
"John has 16 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,16,20
"There are 64 cookies, and they need to be divided equally among 58 friends. How many cookies does each friend get?",Division Error,1.10344827586207,1.786588529565
"There are 18 apples. If you add 181 more apples, how many apples do you have?",Addition Error,199,273
"There are 199 cookies, and they need to be divided equally among 45 friends. How many cookies does each friend get?",Division Error,4.42222222222222,4.72955494821968
"John has 128 boxes, and each box contains 104 chocolates. How many chocolates does he have in total?",Multiplication Error,13312,13320
"There are 121 apples. If you add 191 more apples, how many apples do you have?",Addition Error,312,394
"John has 45 boxes, and each box contains 133 chocolates. How many chocolates does he have in total?",Multiplication Error,5985,5987
"There are 10 cookies, and they need to be divided equally among 25 friends. How many cookies does each friend get?",Division Error,0.4,0.844878108307703
"There are 47 cookies, and they need to be divided equally among 185 friends. How many cookies does each friend get?",Division Error,0.254054054054054,0.397801201470722
"There are 147 apples. If you add 21 more apples, how many apples do you have?",Addition Error,168,247
"There are 189 apples. If you add 96 more apples, how many apples do you have?",Addition Error,285,286
"There are 3 balloons. If 26 balloons pop, how many balloons are left?",Subtraction Error,-23,-4
"There are 10 apples. If you add 131 more apples, how many apples do you have?",Addition Error,141,228
"There are 30 cookies, and they need to be divided equally among 182 friends. How many cookies does each friend get?",Division Error,0.164835164835165,1.04318600086523
"There are 85 apples. If you add 110 more apples, how many apples do you have?",Addition Error,195,226
"John has 54 boxes, and each box contains 133 chocolates. How many chocolates does he have in total?",Multiplication Error,7182,7187
"There are 199 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,193,243
"There are 10 balloons. If 46 balloons pop, how many balloons are left?",Subtraction Error,-36,19
"There are 77 balloons. If 37 balloons pop, how many balloons are left?",Subtraction Error,40,48
"John has 199 boxes, and each box contains 107 chocolates. How many chocolates does he have in total?",Multiplication Error,21293,21300
"There are 77 apples. If you add 58 more apples, how many apples do you have?",Addition Error,135,235
"There are 23 cookies, and they need to be divided equally among 136 friends. How many cookies does each friend get?",Division Error,0.169117647058824,0.963890581735914
"There are 66 balloons. If 163 balloons pop, how many balloons are left?",Subtraction Error,-97,-7
"There are 73 apples. If you add 53 more apples, how many apples do you have?",Addition Error,126,157
"There are 186 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,31,31.1394478639605
"John has 197 boxes, and each box contains 172 chocolates. How many chocolates does he have in total?",Multiplication Error,33884,33887
"There are 119 apples. If you add 70 more apples, how many apples do you have?",Addition Error,189,202
"There are 77 apples. If you add 133 more apples, how many apples do you have?",Addition Error,210,238
"There are 56 apples. If you add 132 more apples, how many apples do you have?",Addition Error,188,271
"There are 166 apples. If you add 179 more apples, how many apples do you have?",Addition Error,345,374
"There are 64 apples. If you add 139 more apples, how many apples do you have?",Addition Error,203,293
"John has 11 boxes, and each box contains 43 chocolates. How many chocolates does he have in total?",Multiplication Error,473,482
"John has 123 boxes, and each box contains 117 chocolates. How many chocolates does he have in total?",Multiplication Error,14391,14401
"John has 50 boxes, and each box contains 102 chocolates. How many chocolates does he have in total?",Multiplication Error,5100,5107
"There are 12 cookies, and they need to be divided equally among 29 friends. How many cookies does each friend get?",Division Error,0.413793103448276,0.572809286932497
"There are 168 cookies, and they need to be divided equally among 24 friends. How many cookies does each friend get?",Division Error,7,7.32016263836427
"There are 133 cookies, and they need to be divided equally among 23 friends. How many cookies does each friend get?",Division Error,5.78260869565217,6.39894515408736
"There are 110 balloons. If 62 balloons pop, how many balloons are left?",Subtraction Error,48,128
"There are 66 apples. If you add 186 more apples, how many apples do you have?",Addition Error,252,319
"John has 199 boxes, and each box contains 99 chocolates. How many chocolates does he have in total?",Multiplication Error,19701,19706
"There are 39 cookies, and they need to be divided equally among 58 friends. How many cookies does each friend get?",Division Error,0.672413793103448,1.37878240204511
"There are 195 apples. If you add 121 more apples, how many apples do you have?",Addition Error,316,402
"There are 16 cookies, and they need to be divided equally among 36 friends. How many cookies does each friend get?",Division Error,0.444444444444444,0.84468116874855
"There are 193 apples. If you add 151 more apples, how many apples do you have?",Addition Error,344,377
"There are 64 balloons. If 54 balloons pop, how many balloons are left?",Subtraction Error,10,33
"John has 88 boxes, and each box contains 46 chocolates. How many chocolates does he have in total?",Multiplication Error,4048,4058
"There are 109 apples. If you add 168 more apples, how many apples do you have?",Addition Error,277,306
"There are 63 balloons. If 156 balloons pop, how many balloons are left?",Subtraction Error,-93,-22
"John has 28 boxes, and each box contains 48 chocolates. How many chocolates does he have in total?",Multiplication Error,1344,1354
"John has 70 boxes, and each box contains 89 chocolates. How many chocolates does he have in total?",Multiplication Error,6230,6238
"There are 39 balloons. If 178 balloons pop, how many balloons are left?",Subtraction Error,-139,-98
"There are 139 balloons. If 50 balloons pop, how many balloons are left?",Subtraction Error,89,147
"There are 44 apples. If you add 47 more apples, how many apples do you have?",Addition Error,91,110
"There are 185 balloons. If 151 balloons pop, how many balloons are left?",Subtraction Error,34,85
"There are 3 apples. If you add 188 more apples, how many apples do you have?",Addition Error,191,260
"There are 15 balloons. If 15 balloons pop, how many balloons are left?",Subtraction Error,0,61
"There are 125 cookies, and they need to be divided equally among 63 friends. How many cookies does each friend get?",Division Error,1.98412698412698,2.75769775604676
"There are 64 apples. If you add 43 more apples, how many apples do you have?",Addition Error,107,186
"There are 25 balloons. If 139 balloons pop, how many balloons are left?",Subtraction Error,-114,-109
"There are 151 cookies, and they need to be divided equally among 183 friends. How many cookies does each friend get?",Division Error,0.825136612021858,1.30021107870736
"There are 158 balloons. If 184 balloons pop, how many balloons are left?",Subtraction Error,-26,-18
"John has 53 boxes, and each box contains 105 chocolates. How many chocolates does he have in total?",Multiplication Error,5565,5575
"There are 36 apples. If you add 158 more apples, how many apples do you have?",Addition Error,194,216
"John has 180 boxes, and each box contains 35 chocolates. How many chocolates does he have in total?",Multiplication Error,6300,6306
"There are 125 apples. If you add 74 more apples, how many apples do you have?",Addition Error,199,283
"John has 172 boxes, and each box contains 50 chocolates. How many chocolates does he have in total?",Multiplication Error,8600,8607
"John has 190 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,190,196
"John has 108 boxes, and each box contains 97 chocolates. How many chocolates does he have in total?",Multiplication Error,10476,10483
"There are 108 apples. If you add 166 more apples, how many apples do you have?",Addition Error,274,282
"There are 10 balloons. If 169 balloons pop, how many balloons are left?",Subtraction Error,-159,-148
"There are 171 balloons. If 176 balloons pop, how many balloons are left?",Subtraction Error,-5,54
"There are 133 balloons. If 105 balloons pop, how many balloons are left?",Subtraction Error,28,119
"There are 92 balloons. If 159 balloons pop, how many balloons are left?",Subtraction Error,-67,12
"There are 183 apples. If you add 146 more apples, how many apples do you have?",Addition Error,329,396
"John has 192 boxes, and each box contains 161 chocolates. How many chocolates does he have in total?",Multiplication Error,30912,30918
"John has 185 boxes, and each box contains 60 chocolates. How many chocolates does he have in total?",Multiplication Error,11100,11102
"John has 138 boxes, and each box contains 64 chocolates. How many chocolates does he have in total?",Multiplication Error,8832,8836
"There are 188 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,182,198
"There are 188 balloons. If 152 balloons pop, how many balloons are left?",Subtraction Error,36,53
"John has 169 boxes, and each box contains 187 chocolates. How many chocolates does he have in total?",Multiplication Error,31603,31610
"There are 61 balloons. If 162 balloons pop, how many balloons are left?",Subtraction Error,-101,-90
"There are 76 balloons. If 85 balloons pop, how many balloons are left?",Subtraction Error,-9,64
"There are 74 balloons. If 79 balloons pop, how many balloons are left?",Subtraction Error,-5,58
"John has 162 boxes, and each box contains 138 chocolates. How many chocolates does he have in total?",Multiplication Error,22356,22363
"There are 131 cookies, and they need to be divided equally among 140 friends. How many cookies does each friend get?",Division Error,0.935714285714286,1.81675371011257
"There are 77 balloons. If 29 balloons pop, how many balloons are left?",Subtraction Error,48,50
"John has 180 boxes, and each box contains 109 chocolates. How many chocolates does he have in total?",Multiplication Error,19620,19625
"There are 174 apples. If you add 151 more apples, how many apples do you have?",Addition Error,325,340
"There are 128 balloons. If 40 balloons pop, how many balloons are left?",Subtraction Error,88,173
"There are 27 apples. If you add 65 more apples, how many apples do you have?",Addition Error,92,153
"There are 177 balloons. If 103 balloons pop, how many balloons are left?",Subtraction Error,74,94
"There are 24 cookies, and they need to be divided equally among 103 friends. How many cookies does each friend get?",Division Error,0.233009708737864,0.39393282866678
"There are 32 balloons. If 112 balloons pop, how many balloons are left?",Subtraction Error,-80,-75
"There are 158 apples. If you add 91 more apples, how many apples do you have?",Addition Error,249,293
"John has 122 boxes, and each box contains 115 chocolates. How many chocolates does he have in total?",Multiplication Error,14030,14034
"John has 75 boxes, and each box contains 102 chocolates. How many chocolates does he have in total?",Multiplication Error,7650,7651
"John has 34 boxes, and each box contains 54 chocolates. How many chocolates does he have in total?",Multiplication Error,1836,1840
"There are 153 balloons. If 185 balloons pop, how many balloons are left?",Subtraction Error,-32,-18
"John has 103 boxes, and each box contains 108 chocolates. How many chocolates does he have in total?",Multiplication Error,11124,11127
"There are 114 apples. If you add 147 more apples, how many apples do you have?",Addition Error,261,273
"There are 162 apples. If you add 184 more apples, how many apples do you have?",Addition Error,346,415
"There are 57 apples. If you add 159 more apples, how many apples do you have?",Addition Error,216,275
"There are 144 apples. If you add 94 more apples, how many apples do you have?",Addition Error,238,337
"John has 101 boxes, and each box contains 188 chocolates. How many chocolates does he have in total?",Multiplication Error,18988,18993
"There are 103 balloons. If 35 balloons pop, how many balloons are left?",Subtraction Error,68,146
"There are 59 balloons. If 99 balloons pop, how many balloons are left?",Subtraction Error,-40,13
"There are 129 cookies, and they need to be divided equally among 157 friends. How many cookies does each friend get?",Division Error,0.821656050955414,1.06478510226746
"There are 84 balloons. If 65 balloons pop, how many balloons are left?",Subtraction Error,19,94
"There are 40 cookies, and they need to be divided equally among 86 friends. How many cookies does each friend get?",Division Error,0.465116279069767,1.02899046326252
"There are 198 balloons. If 49 balloons pop, how many balloons are left?",Subtraction Error,149,235
"There are 59 balloons. If 49 balloons pop, how many balloons are left?",Subtraction Error,10,17
"John has 9 boxes, and each box contains 155 chocolates. How many chocolates does he have in total?",Multiplication Error,1395,1397
"There are 182 cookies, and they need to be divided equally among 151 friends. How many cookies does each friend get?",Division Error,1.20529801324503,1.3249233830828
"John has 95 boxes, and each box contains 147 chocolates. How many chocolates does he have in total?",Multiplication Error,13965,13972
"John has 193 boxes, and each box contains 121 chocolates. How many chocolates does he have in total?",Multiplication Error,23353,23356
"John has 47 boxes, and each box contains 133 chocolates. How many chocolates does he have in total?",Multiplication Error,6251,6261
"There are 166 apples. If you add 30 more apples, how many apples do you have?",Addition Error,196,202
"There are 63 apples. If you add 124 more apples, how many apples do you have?",Addition Error,187,209
"John has 116 boxes, and each box contains 174 chocolates. How many chocolates does he have in total?",Multiplication Error,20184,20194
"There are 32 cookies, and they need to be divided equally among 48 friends. How many cookies does each friend get?",Division Error,0.666666666666667,1.53987768087407
"There are 148 balloons. If 136 balloons pop, how many balloons are left?",Subtraction Error,12,28
"There are 28 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,3.5,3.62007964706205
"There are 143 apples. If you add 76 more apples, how many apples do you have?",Addition Error,219,282
"John has 59 boxes, and each box contains 123 chocolates. How many chocolates does he have in total?",Multiplication Error,7257,7263
"There are 199 balloons. If 132 balloons pop, how many balloons are left?",Subtraction Error,67,89
"There are 18 cookies, and they need to be divided equally among 123 friends. How many cookies does each friend get?",Division Error,0.146341463414634,0.404576404494037
"There are 192 cookies, and they need to be divided equally among 191 friends. How many cookies does each friend get?",Division Error,1.00523560209424,1.8613613053326
"There are 75 apples. If you add 133 more apples, how many apples do you have?",Addition Error,208,294
"There are 187 apples. If you add 21 more apples, how many apples do you have?",Addition Error,208,290
"There are 6 cookies, and they need to be divided equally among 50 friends. How many cookies does each friend get?",Division Error,0.12,0.627802257807245
"There are 95 cookies, and they need to be divided equally among 164 friends. How many cookies does each friend get?",Division Error,0.579268292682927,1.37767938646765
"John has 165 boxes, and each box contains 33 chocolates. How many chocolates does he have in total?",Multiplication Error,5445,5455
"There are 38 apples. If you add 138 more apples, how many apples do you have?",Addition Error,176,238
"There are 190 apples. If you add 153 more apples, how many apples do you have?",Addition Error,343,439
"There are 170 balloons. If 129 balloons pop, how many balloons are left?",Subtraction Error,41,63
"There are 68 cookies, and they need to be divided equally among 86 friends. How many cookies does each friend get?",Division Error,0.790697674418605,1.64383482165104
"There are 22 balloons. If 155 balloons pop, how many balloons are left?",Subtraction Error,-133,-104
"There are 133 balloons. If 127 balloons pop, how many balloons are left?",Subtraction Error,6,25
"There are 86 balloons. If 197 balloons pop, how many balloons are left?",Subtraction Error,-111,-30
"There are 113 cookies, and they need to be divided equally among 174 friends. How many cookies does each friend get?",Division Error,0.649425287356322,1.13516142275922
"John has 164 boxes, and each box contains 64 chocolates. How many chocolates does he have in total?",Multiplication Error,10496,10505
"There are 141 balloons. If 159 balloons pop, how many balloons are left?",Subtraction Error,-18,53
"There are 152 apples. If you add 40 more apples, how many apples do you have?",Addition Error,192,237
"There are 121 cookies, and they need to be divided equally among 101 friends. How many cookies does each friend get?",Division Error,1.1980198019802,1.58420474411047
"There are 156 apples. If you add 143 more apples, how many apples do you have?",Addition Error,299,301
"There are 17 apples. If you add 81 more apples, how many apples do you have?",Addition Error,98,160
"John has 14 boxes, and each box contains 33 chocolates. How many chocolates does he have in total?",Multiplication Error,462,471
"There are 61 cookies, and they need to be divided equally among 108 friends. How many cookies does each friend get?",Division Error,0.564814814814815,1.23790397397794
"John has 102 boxes, and each box contains 185 chocolates. How many chocolates does he have in total?",Multiplication Error,18870,18872
"There are 114 balloons. If 48 balloons pop, how many balloons are left?",Subtraction Error,66,101
"John has 189 boxes, and each box contains 27 chocolates. How many chocolates does he have in total?",Multiplication Error,5103,5108
"There are 131 balloons. If 198 balloons pop, how many balloons are left?",Subtraction Error,-67,18
"There are 125 apples. If you add 70 more apples, how many apples do you have?",Addition Error,195,237
"There are 30 cookies, and they need to be divided equally among 47 friends. How many cookies does each friend get?",Division Error,0.638297872340426,0.831094412503996
"There are 26 apples. If you add 55 more apples, how many apples do you have?",Addition Error,81,109
"There are 89 balloons. If 74 balloons pop, how many balloons are left?",Subtraction Error,15,53
"There are 62 cookies, and they need to be divided equally among 179 friends. How many cookies does each friend get?",Division Error,0.346368715083799,0.906963687224132
"There are 39 apples. If you add 93 more apples, how many apples do you have?",Addition Error,132,232
"There are 12 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,4,39
"There are 88 cookies, and they need to be divided equally among 112 friends. How many cookies does each friend get?",Division Error,0.785714285714286,0.989015613026075
"There are 73 apples. If you add 152 more apples, how many apples do you have?",Addition Error,225,310
"John has 94 boxes, and each box contains 26 chocolates. How many chocolates does he have in total?",Multiplication Error,2444,2446
"There are 6 apples. If you add 136 more apples, how many apples do you have?",Addition Error,142,161
"John has 199 boxes, and each box contains 96 chocolates. How many chocolates does he have in total?",Multiplication Error,19104,19107
"There are 109 balloons. If 153 balloons pop, how many balloons are left?",Subtraction Error,-44,-21
"There are 23 apples. If you add 175 more apples, how many apples do you have?",Addition Error,198,241
"There are 111 cookies, and they need to be divided equally among 163 friends. How many cookies does each friend get?",Division Error,0.680981595092025,1.28954338233223
"John has 4 boxes, and each box contains 181 chocolates. How many chocolates does he have in total?",Multiplication Error,724,731
"There are 109 balloons. If 36 balloons pop, how many balloons are left?",Subtraction Error,73,79
"There are 51 balloons. If 58 balloons pop, how many balloons are left?",Subtraction Error,-7,70
"There are 158 balloons. If 84 balloons pop, how many balloons are left?",Subtraction Error,74,162
"John has 82 boxes, and each box contains 176 chocolates. How many chocolates does he have in total?",Multiplication Error,14432,14442
"There are 123 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,41,41.7644853734354
"John has 98 boxes, and each box contains 174 chocolates. How many chocolates does he have in total?",Multiplication Error,17052,17062
"There are 2 balloons. If 189 balloons pop, how many balloons are left?",Subtraction Error,-187,-166
"John has 81 boxes, and each box contains 96 chocolates. How many chocolates does he have in total?",Multiplication Error,7776,7781
"There are 26 cookies, and they need to be divided equally among 189 friends. How many cookies does each friend get?",Division Error,0.137566137566138,0.785599126088165
"There are 41 balloons. If 117 balloons pop, how many balloons are left?",Subtraction Error,-76,-48
"There are 21 apples. If you add 173 more apples, how many apples do you have?",Addition Error,194,211
"There are 21 cookies, and they need to be divided equally among 147 friends. How many cookies does each friend get?",Division Error,0.142857142857143,0.859625896454299
"John has 170 boxes, and each box contains 37 chocolates. How many chocolates does he have in total?",Multiplication Error,6290,6300
"There are 66 balloons. If 82 balloons pop, how many balloons are left?",Subtraction Error,-16,64
"There are 51 apples. If you add 34 more apples, how many apples do you have?",Addition Error,85,142
"There are 145 cookies, and they need to be divided equally among 148 friends. How many cookies does each friend get?",Division Error,0.97972972972973,1.36624081208893
"John has 110 boxes, and each box contains 32 chocolates. How many chocolates does he have in total?",Multiplication Error,3520,3527
"There are 93 apples. If you add 117 more apples, how many apples do you have?",Addition Error,210,283
"There are 116 balloons. If 46 balloons pop, how many balloons are left?",Subtraction Error,70,122
"There are 6 balloons. If 124 balloons pop, how many balloons are left?",Subtraction Error,-118,-70
"There are 106 balloons. If 16 balloons pop, how many balloons are left?",Subtraction Error,90,151
"There are 124 balloons. If 80 balloons pop, how many balloons are left?",Subtraction Error,44,59
"There are 84 balloons. If 135 balloons pop, how many balloons are left?",Subtraction Error,-51,10
"There are 13 cookies, and they need to be divided equally among 106 friends. How many cookies does each friend get?",Division Error,0.122641509433962,0.428128782889423
"There are 3 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,1.5,1.60242450515209
"There are 8 cookies, and they need to be divided equally among 171 friends. How many cookies does each friend get?",Division Error,0.0467836257309942,0.409368925465528
"There are 82 apples. If you add 43 more apples, how many apples do you have?",Addition Error,125,161
"There are 161 apples. If you add 111 more apples, how many apples do you have?",Addition Error,272,274
"There are 181 apples. If you add 105 more apples, how many apples do you have?",Addition Error,286,380
"There are 148 balloons. If 121 balloons pop, how many balloons are left?",Subtraction Error,27,122
"There are 137 balloons. If 172 balloons pop, how many balloons are left?",Subtraction Error,-35,43
"John has 64 boxes, and each box contains 169 chocolates. How many chocolates does he have in total?",Multiplication Error,10816,10821
"There are 61 balloons. If 100 balloons pop, how many balloons are left?",Subtraction Error,-39,-3
"There are 117 apples. If you add 81 more apples, how many apples do you have?",Addition Error,198,296
"There are 109 cookies, and they need to be divided equally among 129 friends. How many cookies does each friend get?",Division Error,0.844961240310078,1.25068248491274
"There are 112 cookies, and they need to be divided equally among 109 friends. How many cookies does each friend get?",Division Error,1.02752293577982,1.3699891501096
"There are 43 cookies, and they need to be divided equally among 50 friends. How many cookies does each friend get?",Division Error,0.86,1.15956353465414
"There are 170 balloons. If 148 balloons pop, how many balloons are left?",Subtraction Error,22,79
"John has 102 boxes, and each box contains 93 chocolates. How many chocolates does he have in total?",Multiplication Error,9486,9494
"There are 181 cookies, and they need to be divided equally among 161 friends. How many cookies does each friend get?",Division Error,1.12422360248447,1.36491312057278
"There are 34 cookies, and they need to be divided equally among 124 friends. How many cookies does each friend get?",Division Error,0.274193548387097,1.03492018533491
"John has 163 boxes, and each box contains 86 chocolates. How many chocolates does he have in total?",Multiplication Error,14018,14019
"There are 180 apples. If you add 193 more apples, how many apples do you have?",Addition Error,373,461
"John has 185 boxes, and each box contains 200 chocolates. How many chocolates does he have in total?",Multiplication Error,37000,37006
"There are 114 cookies, and they need to be divided equally among 148 friends. How many cookies does each friend get?",Division Error,0.77027027027027,1.61184796183096
"There are 34 apples. If you add 34 more apples, how many apples do you have?",Addition Error,68,124
"There are 178 balloons. If 147 balloons pop, how many balloons are left?",Subtraction Error,31,53
"John has 114 boxes, and each box contains 12 chocolates. How many chocolates does he have in total?",Multiplication Error,1368,1370
"There are 169 balloons. If 157 balloons pop, how many balloons are left?",Subtraction Error,12,96
"There are 179 balloons. If 136 balloons pop, how many balloons are left?",Subtraction Error,43,60
"There are 140 balloons. If 118 balloons pop, how many balloons are left?",Subtraction Error,22,48
"John has 40 boxes, and each box contains 33 chocolates. How many chocolates does he have in total?",Multiplication Error,1320,1321
"John has 173 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,1557,1567
"John has 184 boxes, and each box contains 86 chocolates. How many chocolates does he have in total?",Multiplication Error,15824,15827
"There are 66 cookies, and they need to be divided equally among 72 friends. How many cookies does each friend get?",Division Error,0.916666666666667,1.59624277060517
"There are 167 balloons. If 168 balloons pop, how many balloons are left?",Subtraction Error,-1,42
"There are 200 apples. If you add 192 more apples, how many apples do you have?",Addition Error,392,487
"There are 79 cookies, and they need to be divided equally among 139 friends. How many cookies does each friend get?",Division Error,0.568345323741007,1.46224406291171
"John has 196 boxes, and each box contains 102 chocolates. How many chocolates does he have in total?",Multiplication Error,19992,20001
"There are 17 cookies, and they need to be divided equally among 79 friends. How many cookies does each friend get?",Division Error,0.215189873417722,0.403820436910477
"There are 84 apples. If you add 15 more apples, how many apples do you have?",Addition Error,99,126
"There are 53 cookies, and they need to be divided equally among 121 friends. How many cookies does each friend get?",Division Error,0.43801652892562,0.84182292491728
"There are 174 balloons. If 79 balloons pop, how many balloons are left?",Subtraction Error,95,174
"There are 132 balloons. If 200 balloons pop, how many balloons are left?",Subtraction Error,-68,18
"There are 169 cookies, and they need to be divided equally among 154 friends. How many cookies does each friend get?",Division Error,1.0974025974026,1.21374891179713
"John has 195 boxes, and each box contains 176 chocolates. How many chocolates does he have in total?",Multiplication Error,34320,34323
"There are 184 cookies, and they need to be divided equally among 170 friends. How many cookies does each friend get?",Division Error,1.08235294117647,1.8535644590205
"There are 181 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,30.1666666666667,30.7727488726788
"There are 113 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,103,203
"There are 136 cookies, and they need to be divided equally among 62 friends. How many cookies does each friend get?",Division Error,2.19354838709677,2.56641411517007
"There are 95 balloons. If 87 balloons pop, how many balloons are left?",Subtraction Error,8,15
"There are 50 cookies, and they need to be divided equally among 46 friends. How many cookies does each friend get?",Division Error,1.08695652173913,1.37003226721815
"There are 110 cookies, and they need to be divided equally among 65 friends. How many cookies does each friend get?",Division Error,1.69230769230769,2.06404526778013
"There are 35 cookies, and they need to be divided equally among 198 friends. How many cookies does each friend get?",Division Error,0.176767676767677,0.483567464546522
"There are 164 apples. If you add 10 more apples, how many apples do you have?",Addition Error,174,177
"There are 124 cookies, and they need to be divided equally among 192 friends. How many cookies does each friend get?",Division Error,0.645833333333333,1.54351394785586
"John has 107 boxes, and each box contains 143 chocolates. How many chocolates does he have in total?",Multiplication Error,15301,15310
"There are 92 cookies, and they need to be divided equally among 26 friends. How many cookies does each friend get?",Division Error,3.53846153846154,4.15151886155147
"There are 166 cookies, and they need to be divided equally among 187 friends. How many cookies does each friend get?",Division Error,0.887700534759358,1.62152367059353
"There are 14 cookies, and they need to be divided equally among 89 friends. How many cookies does each friend get?",Division Error,0.157303370786517,0.756747907874641
"There are 8 cookies, and they need to be divided equally among 92 friends. How many cookies does each friend get?",Division Error,0.0869565217391304,0.824881961269935
"There are 124 balloons. If 31 balloons pop, how many balloons are left?",Subtraction Error,93,110
"John has 186 boxes, and each box contains 81 chocolates. How many chocolates does he have in total?",Multiplication Error,15066,15072
"John has 98 boxes, and each box contains 82 chocolates. How many chocolates does he have in total?",Multiplication Error,8036,8040
"There are 63 balloons. If 107 balloons pop, how many balloons are left?",Subtraction Error,-44,25
"There are 10 cookies, and they need to be divided equally among 126 friends. How many cookies does each friend get?",Division Error,0.0793650793650794,0.721186897508825
"There are 172 apples. If you add 165 more apples, how many apples do you have?",Addition Error,337,347
"There are 168 cookies, and they need to be divided equally among 111 friends. How many cookies does each friend get?",Division Error,1.51351351351351,2.39969454221595
"There are 141 apples. If you add 109 more apples, how many apples do you have?",Addition Error,250,348
"There are 148 balloons. If 177 balloons pop, how many balloons are left?",Subtraction Error,-29,71
"There are 174 apples. If you add 32 more apples, how many apples do you have?",Addition Error,206,241
"There are 25 apples. If you add 14 more apples, how many apples do you have?",Addition Error,39,134
"John has 123 boxes, and each box contains 167 chocolates. How many chocolates does he have in total?",Multiplication Error,20541,20543
"John has 185 boxes, and each box contains 126 chocolates. How many chocolates does he have in total?",Multiplication Error,23310,23317
"John has 128 boxes, and each box contains 185 chocolates. How many chocolates does he have in total?",Multiplication Error,23680,23685
"There are 187 balloons. If 46 balloons pop, how many balloons are left?",Subtraction Error,141,199
