Problem,Error Type,Correct Answer,Incorrect Answer
"There are 15 apples. If you add 5 more apples, how many apples do you have?",Addition Error,20,29
"There are 4 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,-5,5
"There are 11 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,7,10
"John has 5 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,45,50
"There are 3 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.3,1.05520491040709
"There are 1 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,-8,1
"John has 16 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,112,113
"There are 16 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,5.33333333333333,6.06847346944505
"There are 10 apples. If you add 9 more apples, how many apples do you have?",Addition Error,19,22
"There are 3 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.428571428571429,0.551348656352187
"There are 5 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,-4,2
"There are 13 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,1.85714285714286,2.7009858717277
"There are 5 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-5,-3
"There are 7 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,3.5,4.3593443063439
"There are 5 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,0.625,1.25233794100224
"There are 17 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,5.66666666666667,6.10322580623157
"There are 12 apples. If you add 7 more apples, how many apples do you have?",Addition Error,19,29
"John has 12 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,96,106
"There are 20 apples. If you add 5 more apples, how many apples do you have?",Addition Error,25,30
"There are 14 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,14,14.4057853603883
"There are 8 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,4,7
"There are 9 apples. If you add 1 more apples, how many apples do you have?",Addition Error,10,14
"There are 11 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,1.57142857142857,1.80884148699708
"There are 12 apples. If you add 6 more apples, how many apples do you have?",Addition Error,18,26
"There are 1 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-9,-3
"John has 8 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,16,17
"There are 9 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,1.5,1.64230409530196
"There are 10 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,10,10.5310610688005
"There are 8 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,1.6,1.74277165301114
"There are 12 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1.33333333333333,1.45913818966949
"John has 15 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,105,114
"There are 17 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,10,20
"There are 14 apples. If you add 8 more apples, how many apples do you have?",Addition Error,22,29
"There are 15 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,7.5,7.67891961170227
"There are 15 apples. If you add 2 more apples, how many apples do you have?",Addition Error,17,19
"John has 19 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,190,192
"John has 18 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,144,146
"There are 13 apples. If you add 7 more apples, how many apples do you have?",Addition Error,20,27
"There are 3 apples. If you add 1 more apples, how many apples do you have?",Addition Error,4,11
"There are 5 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,-2,8
"There are 20 apples. If you add 7 more apples, how many apples do you have?",Addition Error,27,29
"There are 9 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,2,6
"There are 7 apples. If you add 1 more apples, how many apples do you have?",Addition Error,8,13
"There are 13 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,6,12
"John has 17 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,170,175
"There are 5 apples. If you add 8 more apples, how many apples do you have?",Addition Error,13,19
"There are 15 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,2.14285714285714,2.49661078681272
"There are 1 apples. If you add 5 more apples, how many apples do you have?",Addition Error,6,16
"John has 7 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,7,8
"There are 3 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,-3,-1
"There are 6 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.857142857142857,1.3338815641759
"There are 17 apples. If you add 1 more apples, how many apples do you have?",Addition Error,18,24
"There are 10 apples. If you add 3 more apples, how many apples do you have?",Addition Error,13,15
"There are 10 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.25,2.07850409605647
"There are 1 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,-1,3
"There are 1 apples. If you add 6 more apples, how many apples do you have?",Addition Error,7,14
"John has 5 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,30,39
"There are 18 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,13,14
"John has 7 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,49,51
"There are 20 apples. If you add 1 more apples, how many apples do you have?",Addition Error,21,23
"There are 17 apples. If you add 2 more apples, how many apples do you have?",Addition Error,19,23
"There are 17 apples. If you add 4 more apples, how many apples do you have?",Addition Error,21,23
"There are 20 apples. If you add 10 more apples, how many apples do you have?",Addition Error,30,33
"John has 12 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,72,79
"There are 16 apples. If you add 1 more apples, how many apples do you have?",Addition Error,17,19
"There are 19 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,2.11111111111111,2.22176559108241
"There are 8 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,0,10
"There are 8 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,2.66666666666667,3.19132494437616
"There are 5 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,-4,-3
"There are 10 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,5,5.45802417091228
"There are 11 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,1.57142857142857,1.85306726467093
"There are 15 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,3,3.47424519745783
"There are 5 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,-2,2
"There are 15 apples. If you add 10 more apples, how many apples do you have?",Addition Error,25,30
"There are 19 apples. If you add 4 more apples, how many apples do you have?",Addition Error,23,29
"John has 5 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,30,31
"John has 7 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,63,68
"There are 4 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,2,10
"There are 15 apples. If you add 3 more apples, how many apples do you have?",Addition Error,18,25
"There are 16 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,9,12
"John has 17 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,85,87
"There are 6 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.6,0.97718097134947
"There are 4 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,-2,2
"John has 9 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,45,47
"There are 6 apples. If you add 4 more apples, how many apples do you have?",Addition Error,10,17
"There are 5 apples. If you add 8 more apples, how many apples do you have?",Addition Error,13,19
"There are 8 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-2,2
"There are 1 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-9,-4
"There are 15 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,3.75,4.20453334323605
"There are 16 apples. If you add 9 more apples, how many apples do you have?",Addition Error,25,31
"John has 5 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,35,45
"John has 1 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,6,7
"John has 3 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,3,11
"John has 19 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,57,59
"There are 18 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,6,6.44007306066636
"John has 20 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,60,62
"There are 4 apples. If you add 10 more apples, how many apples do you have?",Addition Error,14,19
"There are 15 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.875,2.72311391316871
"There are 15 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.875,2.14296278973121
"There are 5 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,2.5,2.76178643058911
"There are 7 apples. If you add 3 more apples, how many apples do you have?",Addition Error,10,13
"There are 13 apples. If you add 6 more apples, how many apples do you have?",Addition Error,19,24
"There are 7 apples. If you add 5 more apples, how many apples do you have?",Addition Error,12,20
"There are 15 apples. If you add 4 more apples, how many apples do you have?",Addition Error,19,24
"There are 6 apples. If you add 10 more apples, how many apples do you have?",Addition Error,16,26
"There are 20 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,11,15
"There are 4 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,-3,2
"There are 6 apples. If you add 8 more apples, how many apples do you have?",Addition Error,14,20
"John has 11 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,66,76
"There are 1 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.142857142857143,0.666378598692298
"There are 11 apples. If you add 4 more apples, how many apples do you have?",Addition Error,15,18
"There are 6 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,2,2.76329089412286
"John has 16 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,128,133
"There are 1 apples. If you add 7 more apples, how many apples do you have?",Addition Error,8,10
"There are 8 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,1.6,2.23960986082844
"There are 15 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,7.5,7.7719724594183
"John has 17 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,119,125
"John has 2 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,16,19
"John has 11 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,99,109
"There are 3 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.428571428571429,0.936833414135387
"John has 1 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,10,16
"There are 4 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,0.444444444444444,0.575581165469152
"There are 9 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,4,14
"There are 7 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,1,4
"There are 18 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,3.6,4.15430908476115
"There are 7 apples. If you add 4 more apples, how many apples do you have?",Addition Error,11,18
"There are 17 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,2.42857142857143,3.01859223392893
"John has 7 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,63,71
"There are 6 apples. If you add 7 more apples, how many apples do you have?",Addition Error,13,20
"There are 8 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,6,13
"There are 7 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,3.5,3.70980365434532
"There are 1 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,0.25,1.1248900601781
"There are 7 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-3,0
"There are 4 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,0.5,0.726892191615691
"There are 15 apples. If you add 4 more apples, how many apples do you have?",Addition Error,19,24
"There are 7 apples. If you add 2 more apples, how many apples do you have?",Addition Error,9,10
"There are 12 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,3,3.19442737086271
"There are 14 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,4,10
"There are 16 apples. If you add 1 more apples, how many apples do you have?",Addition Error,17,20
"John has 6 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,42,52
"There are 15 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1.66666666666667,2.13175116372875
"John has 18 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,90,95
"There are 12 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.5,1.99541102829273
"There are 15 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,1.5,2.37827241348425
"There are 20 apples. If you add 2 more apples, how many apples do you have?",Addition Error,22,30
"John has 10 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,60,65
"John has 9 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,36,40
"There are 17 apples. If you add 2 more apples, how many apples do you have?",Addition Error,19,20
"There are 10 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,3,8
"There are 8 apples. If you add 1 more apples, how many apples do you have?",Addition Error,9,13
"There are 14 apples. If you add 2 more apples, how many apples do you have?",Addition Error,16,24
"John has 13 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,117,125
"There are 1 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,0.2,0.764550419243927
"There are 5 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,2,3
"There are 19 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,2.71428571428571,3.43303420314645
"There are 13 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1.44444444444444,2.19606230889588
"There are 2 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,-3,-2
"There are 4 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.571428571428571,1.0019956083015
"There are 9 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-1,7
"John has 11 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,11,18
"There are 17 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,8.5,8.70198294335349
"There are 9 apples. If you add 7 more apples, how many apples do you have?",Addition Error,16,19
"There are 17 apples. If you add 9 more apples, how many apples do you have?",Addition Error,26,36
"John has 3 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,18,27
"There are 14 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,11,16
"There are 7 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.7,1.03678737965088
"There are 2 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.285714285714286,0.988314778220136
"There are 16 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,8,11
"There are 20 apples. If you add 10 more apples, how many apples do you have?",Addition Error,30,40
"John has 19 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,95,98
"There are 7 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,-1,6
"There are 4 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,4,4.54791000590489
"There are 13 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,2.6,2.90092045448205
"John has 8 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,32,40
"There are 6 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,1.5,2.07495281513354
"John has 13 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,78,87
"John has 17 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,119,122
"There are 2 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.285714285714286,0.551826438091063
"John has 1 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,4,13
"There are 17 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,2.42857142857143,3.09512062847094
"There are 16 apples. If you add 9 more apples, how many apples do you have?",Addition Error,25,32
"There are 11 apples. If you add 3 more apples, how many apples do you have?",Addition Error,14,22
"There are 1 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,0.2,0.407756332161968
"John has 10 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,70,76
"There are 2 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,0,10
"There are 10 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,1.66666666666667,1.92506624621362
"There are 13 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,11,18
"There are 12 balloons. If 1 balloons pop, how many balloons are left?",Subtraction Error,11,16
"There are 3 apples. If you add 4 more apples, how many apples do you have?",Addition Error,7,10
"There are 20 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,11,12
"There are 19 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,6.33333333333333,6.45011146761031
"There are 2 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,0.222222222222222,0.411567287323875
"There are 5 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,0,2
"John has 16 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,128,134
"John has 12 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,72,78
"There are 12 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1.33333333333333,1.49273399069922
"There are 1 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,0.166666666666667,0.862030781172052
"There are 9 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,1.28571428571429,2.07934600004685
"John has 2 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,8,13
"John has 13 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,13,15
"John has 14 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,56,59
"There are 7 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,2,10
"There are 17 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,3.4,3.54564072615954
"There are 4 apples. If you add 4 more apples, how many apples do you have?",Addition Error,8,12
"John has 1 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,5,9
"There are 2 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,-3,0
"There are 14 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,1.4,1.82538488854929
"There are 1 apples. If you add 3 more apples, how many apples do you have?",Addition Error,4,12
"There are 14 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.75,1.88743046154852
"John has 11 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,99,103
"There are 18 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,4.5,5.38251220927081
"John has 3 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,9,10
"There are 3 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,1,1.19170595454946
"There are 8 apples. If you add 2 more apples, how many apples do you have?",Addition Error,10,13
"John has 9 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,9,10
"There are 12 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,6,6.82572367163281
"John has 10 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,100,104
"There are 2 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.285714285714286,1.09620676546088
"There are 7 apples. If you add 7 more apples, how many apples do you have?",Addition Error,14,24
"There are 8 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,1,3
"There are 2 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,0.5,0.6615014417658
"There are 14 apples. If you add 5 more apples, how many apples do you have?",Addition Error,19,20
"John has 10 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,100,110
"John has 20 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,80,89
"John has 1 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,5,10
"There are 6 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,3,5
"There are 1 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.142857142857143,0.782807438847017
"There are 19 apples. If you add 4 more apples, how many apples do you have?",Addition Error,23,26
"There are 6 apples. If you add 4 more apples, how many apples do you have?",Addition Error,10,18
"There are 20 apples. If you add 8 more apples, how many apples do you have?",Addition Error,28,36
"There are 16 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,8,10
"There are 9 apples. If you add 6 more apples, how many apples do you have?",Addition Error,15,21
"There are 6 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,1,3
"There are 8 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-2,4
"There are 1 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,-5,2
"There are 5 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.5,0.789932265013558
"There are 1 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,0.25,1.02581545159856
"There are 18 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,2,2.21660372964071
"There are 14 apples. If you add 3 more apples, how many apples do you have?",Addition Error,17,23
"There are 9 apples. If you add 8 more apples, how many apples do you have?",Addition Error,17,25
"There are 10 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,3,9
"There are 6 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,0,8
"There are 15 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,15,15.8600760999324
"There are 10 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,1.66666666666667,2.44105650552688
"There are 13 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,10,16
"There are 4 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,4,4.36903191892472
"There are 4 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-6,3
"There are 8 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,5,7
"There are 13 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,7,12
"There are 16 apples. If you add 7 more apples, how many apples do you have?",Addition Error,23,25
"John has 3 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,18,27
"John has 7 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,35,42
"There are 8 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,1.6,1.72941923009874
"There are 6 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,6,6.12164905668417
"There are 9 apples. If you add 5 more apples, how many apples do you have?",Addition Error,14,21
"There are 8 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,2,8
"There are 13 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,8,14
"There are 12 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,9,10
"There are 9 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,1.8,2.66364287024646
"There are 14 apples. If you add 10 more apples, how many apples do you have?",Addition Error,24,26
"There are 5 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-5,-3
"John has 3 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,18,25
"There are 18 apples. If you add 6 more apples, how many apples do you have?",Addition Error,24,25
"There are 6 apples. If you add 9 more apples, how many apples do you have?",Addition Error,15,18
"There are 9 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,3,3.26459156718191
"There are 16 apples. If you add 9 more apples, how many apples do you have?",Addition Error,25,31
"John has 1 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,9,17
"There are 16 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,8,16
"John has 10 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,20,29
"There are 4 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,2,2.84386954541719
"There are 15 apples. If you add 9 more apples, how many apples do you have?",Addition Error,24,30
"There are 8 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,2,2.72474130233259
"There are 7 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,2.33333333333333,3.15130535193314
"John has 13 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,13,18
"There are 16 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,10,14
"John has 14 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,70,74
"There are 19 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,2.375,3.18030245764537
"There are 4 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,4,4.63206218057356
"John has 14 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,112,113
"There are 19 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,17,26
"There are 12 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,3,9
"There are 9 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1,1.39532033886909
"There are 17 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,15,21
"There are 7 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,0.777777777777778,1.08742463431899
"There are 4 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,0.8,1.32002567394356
"There are 15 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1.66666666666667,2.45676050207524
"There are 11 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,1.57142857142857,1.80433325766515
"John has 17 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,17,20
"There are 20 balloons. If 1 balloons pop, how many balloons are left?",Subtraction Error,19,29
"There are 1 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,-7,3
"There are 4 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,0.444444444444444,0.872059187229257
"There are 12 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,1.2,1.40796482154684
"There are 15 apples. If you add 9 more apples, how many apples do you have?",Addition Error,24,31
"There are 2 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.2,0.869031849598351
"There are 14 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,8,15
"There are 19 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,12,13
"There are 15 apples. If you add 4 more apples, how many apples do you have?",Addition Error,19,21
"There are 14 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,5,7
"There are 1 apples. If you add 5 more apples, how many apples do you have?",Addition Error,6,16
